Country,Amount
Belgium,6828.84
Netherlands,5606.21
India,2370.50
Norway,1640.14
United Kingdom,923.24
United States,440.78
Saint Barthélemy,363.72
United Arab Emirates,351.99
Saudi Arabia,296.81
Singapore,260.18
Russia,244.92
South Korea,242.77
Chinese Taipei,233.75
Italy,154.47
Estonia,154.29
Sweden,80.51
France,73.56
Malaysia,56.38
Cyprus,51.47
Finland,45.29
Turkey,44.64
Lithuania,39.60
Niger,34.54
Algeria,34.45
Israel,28.24
Kuwait,26.11
Bulgaria,24.28
Spain,20.42
Greece,12.54
Togo,9.12
Poland,7.36
Germany,4.46
China,2.54
Thailand,2.23
South Africa,1.91
Senegal,1.45
Vietnam,1.37
Latvia,1.20
Egypt,0.72
Romania,0.72
Ukraine,0.66
Brazil,0.64
Oman,0.61
Switzerland,0.44
Indonesia,0.42
Qatar,0.39
Cote d'Ivoire,0.37
Sri Lanka,0.23
Morocco,0.21
Serbia,0.17
Hungary,0.16
Slovenia,0.14
Burkina Faso,0.12
Mauritius,0.11
Namibia,0.10
Canada,0.08
Japan,0.03
Austria,0.02
Hong Kong,0.01
Burundi,0.01
Luxembourg,0.01
Denmark,0.01
Rwanda,0.01
Slovakia,0.00
Kenya,0.00
Australia,0.00
Philippines,0.00
Azerbaijan,0.00
Eritrea,0.00
Christmas Island,0.00
Liberia,0.00
Czechia,0.00
